epoch,dice_coef,e_measure,iou,loss,lr,s_measure,val_dice_coef,val_e_measure,val_iou,val_loss,val_s_measure,val_weighted_f_measure,weighted_f_measure
0,0.23750722408294678,0.2375071942806244,0.1365586668252945,1.683780312538147,1e-04,0.3604657053947449,0.19639059901237488,0.19639059901237488,0.10978350788354874,1.7092828750610352,0.3030361533164978,0.2995252013206482,0.3593355119228363
1,0.37993383407592773,0.37993383407592773,0.23752465844154358,1.3158758878707886,1e-04,0.5402777791023254,0.1946079432964325,0.1946079432964325,0.10863171517848969,1.6350133419036865,0.2863450348377228,0.2894080877304077,0.5540157556533813
2,0.4617418646812439,0.4617418646812439,0.3036712408065796,1.0851280689239502,1e-04,0.5956852436065674,0.21853116154670715,0.21853116154670715,0.12376010417938232,1.4657204151153564,0.2859681248664856,0.3028361201286316,0.6340028643608093
3,0.5255625247955322,0.5255625247955322,0.3607592284679413,0.9300309419631958,1e-04,0.634188711643219,0.33980828523635864,0.33980828523635864,0.20741896331310272,1.1685508489608765,0.3867517113685608,0.4230198264122009,0.6873260140419006
4,0.6098303198814392,0.609830379486084,0.44413676857948303,0.7632730007171631,1e-04,0.6838979125022888,0.23005330562591553,0.23005330562591553,0.13140010833740234,1.2787550687789917,0.23583486676216125,0.24041274189949036,0.745823323726654
5,0.732244610786438,0.732244610786438,0.5829995274543762,0.5638514757156372,1e-04,0.7663978934288025,0.5669351816177368,0.5669351816177368,0.4000207483768463,0.8842971920967102,0.6207243204116821,0.6775566339492798,0.8224007487297058
6,0.7936838269233704,0.7936838269233704,0.6617385149002075,0.47015029191970825,1e-04,0.810964822769165,0.733552098274231,0.7335519790649414,0.5828964710235596,0.5988610982894897,0.7493118047714233,0.7885986566543579,0.8548220992088318
7,0.8297373056411743,0.8297373056411743,0.7118344306945801,0.41423436999320984,1e-04,0.8404682278633118,0.6469219326972961,0.6469219326972961,0.4819740653038025,0.7037340402603149,0.6540459394454956,0.6534786224365234,0.875867486000061
8,0.8590196967124939,0.8590195775032043,0.7551368474960327,0.3656734824180603,1e-04,0.8657057881355286,0.6446056962013245,0.6446056962013245,0.47972527146339417,0.7163593173027039,0.6520876884460449,0.6546982526779175,0.8948792815208435
9,0.8766190409660339,0.8766190409660339,0.7822064161300659,0.3368475139141083,1e-04,0.8811600804328918,0.36335238814353943,0.36335229873657227,0.22713594138622284,1.1793699264526367,0.38848552107810974,0.41878581047058105,0.9055169820785522
10,0.8922268748283386,0.8922268748283386,0.8068744540214539,0.3100099265575409,1e-04,0.895104169845581,0.7729480862617493,0.7729480266571045,0.6345185041427612,0.5735949277877808,0.7836655378341675,0.8078556060791016,0.9149423837661743
